patient_id,dice_no_tumor,dice_whole,dice_core,dice_enhancing,precision_no_tumor,precision_whole,precision_core,precision_enhancing,recall_no_tumor,recall_whole,recall_core,recall_enhancing
sample_0,0.9992256598317166,0.6319136854053016,0.0,0.0,0.9984529946728585,0.9996406755300036,0.0,0.0,0.9999995217896543,0.46197276652274993,0.0,0.0
sample_1,0.9920525614230059,0.8572513562386592,0.8233827669444906,0.45128398791455576,0.994949433754988,0.8146480615892219,0.7678733442206496,0.9629331184528606,0.9891725090546976,0.9045565562509541,0.8875430938429877,0.29469790382244143
sample_2,0.9843092483130477,0.7097047158976986,0.39750976097509794,0.4682556602564839,0.9972182278130373,0.5725753210899052,0.24988775479661168,0.32791878172588834,0.9717302109243626,0.9332029100690836,0.9713205351948807,0.8185748360166964
sample_3,0.9986645667601638,0.7046610169487793,0.0,0.0,0.9974586601704305,0.9618276460381724,0.0,0.0,0.999873392710873,0.5560013373453695,0.0,0.0
sample_4,0.9960083793036196,0.9464344035451085,0.8727763767194967,0.8648437499999296,0.9943284206585027,0.9683905417859731,0.9315301085883514,0.9778252148469848,0.9976940242740769,0.9254518072289156,0.8209943854113498,0.7752666365135179
sample_5,0.9951773426451859,0.8641963292546673,0.8344468908965877,0.833433000597812,0.9989126011878122,0.781867585825167,0.7186033967013747,0.7542880932556203,0.9914699147237438,0.9659036163302096,0.9948179493562037,0.9311337239181827
sample_6,0.9962047612627094,0.9377967022259792,0.7390030781449859,0.46328620185252883,0.9958140543995921,0.9438662671818796,0.8554597701149426,0.7618665811417575,0.9965957748332305,0.931804699601226,0.6504544660024472,0.33284293120358693
sample_7,0.9971341285284905,0.9253373235984026,0.8942253148279519,0.8933533861588603,0.9986239330522355,0.8907183212267958,0.9214761700635206,0.9456351280710925,0.9956487625349605,0.9627561771061214,0.8685399449035812,0.8465498170679826
sample_8,0.9992496748831164,0.8887940234788727,0.9212177985939848,0.8855898653989651,0.9997708945822092,0.8250445809391718,0.8646034816247582,0.8245484703280501,0.9987289983653067,0.9632199861207494,0.985765838011227,0.9563916203505771
sample_9,0.9935025012199953,0.9152925821187424,0.9472705291545567,0.8617301701412263,0.9904902202159727,0.9530802417078458,0.9464588065248812,0.8957614777343451,0.9965331600256666,0.880387056899682,0.9480836453140836,0.8301900195347185
sample_10,0.9972832318999159,0.9233288048210594,0.46129383211945657,0.7787966897768311,0.9995373158479961,0.8680814829370538,0.3098021582733813,0.7751558325912734,0.9950392915694558,0.9860863095238095,0.9027186374058304,0.7824719101123595
sample_11,0.9987976343998943,0.8869813371985671,0.0,0.0,0.9990354683497688,0.8675675675675676,0.0,0.0,0.998559913662271,0.9072838476508202,0.0,0.0
sample_12,0.9956786935535513,0.934005268405437,0.6399416466583204,0.11795652775838578,0.99355531141808,0.9655183477040304,0.9730848861283644,0.8819875776397516,0.9978111711227333,0.9044842510218802,0.476729548356714,0.06320474777448071
sample_13,0.9952568289494836,0.8363300826221695,0.81864723050656,0.0,0.9906010108088864,0.9982216833383853,0.9942664548870724,0.0,0.9999566183832559,0.7196218114010169,0.6957547169811321,0.0
sample_14,0.9983632483133813,0.9631605790732717,0.8645833333323099,0.8825641707662155,0.9986131576666378,0.9577657890630225,0.9666490206458443,0.9793388429752066,0.9981134640116747,0.9686164876168145,0.7820128479657388,0.8031953522149601
sample_15,0.9983249349594174,0.9531913131688885,0.7509180743805918,0.8431106205956179,0.9994551050035403,0.9239938991758536,0.6512914060690295,0.8395468763209063,0.9971973179897059,0.9842941637568589,0.8865284565662935,0.8467047489129508
sample_16,0.9998230621128268,0.0,0.0,0.0,0.9999923679633815,0.0,0.0,0.0,0.9996538135819517,0.0,0.0,0.0
sample_17,0.9983834224707848,0.6921356520148376,0.013921113689048985,0.12537313432461572,0.9969266424346391,0.9590184669870984,1.0,1.0,0.9998444662383728,0.5414554024137684,0.007009345794392523,0.06687898089171974
sample_18,0.9975519114375319,0.9669952524816239,0.29509351424491675,0.02254566210042445,0.9958474822836648,0.9898353726205371,0.9835255354200988,0.17286652078774617,0.9992621849791534,0.9451854151761006,0.1735881425051066,0.012059227598839872
sample_19,0.9965740907767909,0.9158791955303981,0.8517075638753939,0.8377464244296392,0.9973875582211953,0.8978975032851512,0.8169993852525318,0.8840055065517769,0.9957619491761164,0.9345958245775462,0.8894955615048612,0.7960879746544837
sample_20,0.9895179127627622,0.8187076343269553,0.9491863014543936,0.8703451781201516,0.9998776748434238,0.6942915482954546,0.913162311908617,0.8430350419924704,0.9793706248321323,0.9974491422740897,0.9881692948192442,0.8994839786175571
sample_21,0.9911855135613441,0.8306066770141025,0.9057792757019321,0.7497366664192939,0.9951377633711507,0.7717070024900131,0.9355901457858162,0.7872141566452738,0.9872645327630487,0.8992401786832547,0.8778094809030385,0.7156654487778628
sample_22,0.999500979435198,0.0,0.0,0.0,0.9997461337894018,0.0,0.0,0.0,0.9992559452833608,0.0,0.0,0.0
sample_23,0.998417463281706,0.931851369380818,0.9463764231196554,0.9258355504477377,0.9978612181206418,0.9547705158012572,0.9750007267230604,0.9185330959297785,0.9989743289323697,0.910006771036379,0.9193849021435229,0.9332550463374382
sample_24,0.999538155480959,0.8256002888600599,0.8548910523836121,0.7383433900124062,0.9991703239798833,0.9589012371566367,0.9322548028311426,0.7544843049327354,0.9999062579064999,0.7248375336820415,0.7893835616438356,0.7228786251342643
sample_25,0.9965007802982824,0.907106265598259,0.8963034801744011,0.8743546477948789,0.9977448622790565,0.8780419580419581,0.8160084219105511,0.8062328735311876,0.9952597969303331,0.9381605760086945,0.9941251913450002,0.9550506161971831
sample_26,0.996665308587364,0.9272115730006353,0.8565813839231863,0.7743860678990439,0.997031746839434,0.9198324082672829,0.771004830260562,0.6691182686617635,0.9962991395898346,0.9347100908572181,0.9635266111205577,0.9189597120631603
sample_27,0.997679279985218,0.8627119130258939,0.7847865034335679,0.6718480138165631,0.9983347380342048,0.8304569929587188,0.8496726743716156,0.6201673973694699,0.9970246820552954,0.8975736413286776,0.729107427699563,0.7329251059821008
sample_28,0.992160780414154,0.8961640615977904,0.7676841117887749,0.0,0.9848699891161256,0.9935908057057645,0.96306514272845,0.0,0.9995603212393258,0.816137533405919,0.6382081666766163,0.0
sample_29,0.999072111744528,0.6960676797738554,0.014492753622838339,0.01485148514814724,0.9984026162297441,0.8919895603292511,1.0,1.0,0.9997425057445628,0.5707129094412331,0.0072992700729927005,0.007481296758104738
sample_30,0.9987291388063345,0.4540041067757145,0.06280193236696015,0.06799999999977334,0.9975548336432358,0.9185708350643955,0.9904761904761905,0.9714285714285714,0.9999062119733815,0.30151370516841675,0.032429061428125974,0.035233160621761656
sample_31,0.9987383391862326,0.9531566746965181,0.9171313808835527,0.8426364291696685,0.998186737193862,0.9731224709507369,0.9311109351492597,0.9191176470588235,0.9992905511506252,0.9339936933245444,0.9035653911172583,0.7779056800604338
sample_32,0.9999539783345237,0.6921850079634421,0.0,0.0,0.9999132062010831,0.9517543859649122,0.0,0.0,0.9999947537931269,0.543859649122807,0.0,0.0
sample_33,0.9968837439579966,0.8671306844782019,0.593174590448544,0.7094059058705515,0.9979622635241262,0.8289340202494381,0.5502503842530616,0.5922932771140782,0.9958075530344541,0.9090175377366722,0.6433623188405797,0.8842454974645917
sample_34,0.9884601346418987,0.8171742482651946,0.6733730389308134,0.7505558344688195,0.9797106604825407,0.9518499462088966,0.9056953987430395,0.9721018082734704,0.9973672944001171,0.7158848651577089,0.535906279504422,0.6112495619329466
sample_35,0.9965615698425426,0.8833176468627711,0.8819167841161334,0.8013377926413747,0.9996917384425307,0.7984761101657908,0.8238122495706927,0.8337641678266057,0.9934509420112552,0.9883322150152837,0.9488396624472574,0.7713392200147167
sample_36,0.9984454822850329,0.8070866141729877,0.7658977953353091,0.7169107856185379,0.9984090087595844,0.8107622243528284,0.7459352116172272,0.7254761049227453,0.9984819584754594,0.8034441805225653,0.7869582296713369,0.7085453588348833
